loan_word,original_word,loan_word_ipas,original_word_ipas
लब,لب,['/ləb/'],"['/ˈleb(b)/', '/lab/', '/lab/', '/læb/', '/lab/']"
लश्कर,لشکر,['/ləʃ.kəɾ/'],"['/laʃkaɾ/', '/laʃkaɾ/', '/læʃkæɾ/', '/laʃkaɾ/']"
लश्करी,لشکری,['/ləʃ.kə.ɾiː/'],[]
लहजा,لهجه,['/ləɦ.d͡ʒɑː/'],"['/lahd͡ʒa/', '/lahd͡ʒa/', '/læhd͡ʒe/', '/lahd͡ʒa/']"
लाजवर्द,لاجورد,['/lɑːd͡ʒ.ʋəɾd̪/'],[]
लाज़िम,لازم,"['/lɑː.d͡ʒɪm/', '/lɑː.zɪm/']","['/lɑːzim/', '/lɒːzɪm/', '/lɒːzem/', '/lɔːzim/', '/laː.zem/']"
लायक़,لایق,"['/lɑː.jək/', '/lɑː.jəq/']",[]
लाल,لال,"['/lɑːl/', '/lal/']",['/lɑːl/']
लाला,لاله,[],"['/lɒːˈlæ/', '/lɒːˈle/']"
लाश,لاش,[],['/laːʃ/']
लिबास,لباس,['/lɪ.bɑːs/'],['/li.baːs/']
लिसान,لِسَان,['/lɪ.sɑːn/'],"['/li.saːn/', '/liˈsaːn/', '/lsaːn/', '/lisɑːn/', '/lɪsɒːn/', '/lesɒːn/', '/lisɔːn/']"
लुत्फ़,لطف,"['/lʊt̪pʰ/', '/lʊt̪f/']",[]
लूक़ा,لوقا,"['/luː.kɑː/', '/luː.qɑː/']",[]
लोबिया,لوبیا,['/loː.bɪ.jɑː/'],"['/loːbiˈi̯ɒː/', '/luːbiˈi̯ɒː/', '/loː.bɪ.jɑː/']"
